labels,Symptoms
PNEUMONIA,"Muscle pain, Sweating, Fatigue, Cough with phlegm, Bluish skin, Chills"
TUBERCULOSIS,"Weakness, Coughing blood, Night sweats, Chest pain, Fatigue"
COVID19,"Shortness of breath, Fatigue, Congestion, Nausea, Cough, Headache, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Loss of appetite, Sweating, Shortness of breath"
TUBERCULOSIS,"Night sweats, Weakness, Chills, Weight loss, Chest pain, Chronic cough"
COVID19,"Loss of taste or smell, Fatigue, Diarrhea, Body aches, Chills, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Loss of appetite, Muscle pain"
TUBERCULOSIS,"Loss of appetite, Shortness of breath, Coughing blood"
COVID19,"Shortness of breath, Body aches, Nausea, Sore throat, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Chills, Shortness of breath, Weakness"
TUBERCULOSIS,"Fever, Weight loss, Night sweats, Loss of appetite, Coughing blood, Shortness of breath"
COVID19,"Diarrhea, Sore throat, Chills, Congestion, Fatigue, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Fatigue, Chest pain, Weakness, Cough with phlegm"
TUBERCULOSIS,"Chronic cough, Night sweats, Chills, Fatigue, Loss of appetite, Coughing blood, Chest pain"
COVID19,"Congestion, Diarrhea, Nausea, Headache, Fatigue, Shortness of breath, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Fever, Chest pain, Shortness of breath, Chills, Loss of appetite"
TUBERCULOSIS,"Weakness, Fever, Chest pain, Coughing blood"
COVID19,"Nausea, Congestion, Fatigue, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Fatigue, Shortness of breath, Fever"
TUBERCULOSIS,"Fever, Fatigue, Coughing blood, Weakness, Loss of appetite, Shortness of breath, Chills"
COVID19,"Body aches, Fatigue, Headache"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Muscle pain, Fatigue, Weakness, Loss of appetite, Fever"
TUBERCULOSIS,"Weakness, Fatigue, Chronic cough, Weight loss, Shortness of breath"
COVID19,"Headache, Shortness of breath, Fever, Congestion, Body aches, Nausea, Cough"
NORMAL,No symptoms
PNEUMONIA,"Fever, Loss of appetite, Cough with phlegm, Shortness of breath, Bluish skin, Weakness"
TUBERCULOSIS,"Weight loss, Chest pain, Chills, Loss of appetite"
COVID19,"Fever, Diarrhea, Chills, Headache, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Fever, Loss of appetite, Muscle pain, Weakness, Bluish skin, Chest pain, Shortness of breath"
TUBERCULOSIS,"Fatigue, Chronic cough, Weight loss, Loss of appetite, Chills, Weakness, Fever"
COVID19,"Chills, Fever, Headache, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Chills, Weakness, Cough with phlegm, Bluish skin"
TUBERCULOSIS,"Weakness, Fever, Chest pain"
COVID19,"Body aches, Loss of taste or smell, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Weakness, Bluish skin, Sweating, Fever"
TUBERCULOSIS,"Chills, Coughing blood, Chest pain, Loss of appetite, Weakness, Shortness of breath"
COVID19,"Loss of taste or smell, Chills, Cough"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Muscle pain, Sweating"
TUBERCULOSIS,"Chronic cough, Fever, Shortness of breath"
COVID19,"Chills, Headache, Body aches, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Loss of appetite, Chest pain, Fever"
TUBERCULOSIS,"Chronic cough, Night sweats, Coughing blood, Chest pain, Weight loss"
COVID19,"Shortness of breath, Fatigue, Diarrhea, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Fever, Sweating, Chills, Bluish skin"
TUBERCULOSIS,"Weakness, Chronic cough, Chills, Fever"
COVID19,"Congestion, Chills, Fever, Headache, Body aches, Cough"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Chills, Cough with phlegm, Muscle pain, Bluish skin, Sweating, Loss of appetite"
TUBERCULOSIS,"Chest pain, Fever, Coughing blood, Weight loss"
COVID19,"Sore throat, Cough, Diarrhea, Loss of taste or smell, Chills, Fever, Headache"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Chills, Fever"
TUBERCULOSIS,"Fever, Weakness, Night sweats, Fatigue"
COVID19,"Fatigue, Congestion, Nausea, Chills, Diarrhea, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Fever, Sweating, Cough with phlegm, Muscle pain"
TUBERCULOSIS,"Shortness of breath, Weakness, Weight loss, Loss of appetite, Coughing blood, Fever"
COVID19,"Chills, Loss of taste or smell, Nausea, Fever, Body aches, Cough"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Muscle pain, Bluish skin, Sweating, Chills, Cough with phlegm"
TUBERCULOSIS,"Chronic cough, Weight loss, Chills, Chest pain, Loss of appetite, Weakness"
COVID19,"Sore throat, Shortness of breath, Chills, Diarrhea, Fatigue, Loss of taste or smell, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Loss of appetite, Cough with phlegm, Fever, Sweating, Chills"
TUBERCULOSIS,"Fever, Chest pain, Chronic cough, Weakness, Loss of appetite, Shortness of breath, Fatigue"
